Created,Caller,Noise Postode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
03/04/2022,LS11 ,LS11 6,SHOUTING,Out ofHours,Out ofHours
03/04/2022,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
03/04/2022,LS26 ,LS26 0,TV,Out ofHours,Out ofHours
03/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
03/04/2022,LS12 ,LS12 4,MUSIC,Out ofHours,Out ofHours
03/04/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
03/04/2022,LS14 ,LS14 5,TV,Out ofHours,Out ofHours
03/04/2022,LS14 ,LS14 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/04/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
03/04/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
03/04/2022,LS12 ,LS12 5,MUSIC,Out ofHours,Out ofHours
03/04/2022,LS8 ,LS8 1,MUSIC,Out ofHours,Out ofHours
03/04/2022,WF3 ,WF3 1,SHOUTING,Out ofHours,Out ofHours
03/04/2022,LS6 ,LS6 3,MUSIC,Out ofHours,Out ofHours
03/04/2022,LS14 ,LS14 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/04/2022,LS17 ,LS17 6,MUSIC,Out ofHours,Out ofHours
03/04/2022,LS8 ,LS8 2,MUSIC,Out ofHours,Out ofHours
03/04/2022,LS17 ,LS17 5,SHOUTING,Out ofHours,Out ofHours
03/04/2022,LS8 ,LS8 3,TV,Out ofHours,Out ofHours
03/04/2022,LS17 ,LS17 6,SHOUTING,Out ofHours,Out ofHours
03/04/2022,LS14 ,LS14 1,TV,Out ofHours,Out ofHours
04/04/2022,LS10 ,LS10 1,MUSIC,Out ofHours,Out ofHours
04/04/2022,LS8 ,LS8 1,DIY,Out ofHours,Out ofHours
04/04/2022,LS14 ,LS14 1,TV,Out ofHours,Out ofHours
04/04/2022,LS6 ,LS6 1,ALARM,Out ofHours,Out ofHours
04/04/2022,WF3 ,WF3 1,TV,Out ofHours,Out ofHours
04/04/2022,LS6 ,LS6 1,PARTY,Out ofHours,Out ofHours
04/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
04/04/2022,LS10 ,LS10 2,MUSIC,Out ofHours,Out ofHours
04/04/2022,LS16 ,LS16 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2022,LS26 ,LS26 0,DOG BARKING,Out ofHours,Out ofHours
04/04/2022,LS21 ,LS21 3,DIY,Out ofHours,Out ofHours
04/04/2022,LS10 ,LS10 2,ALARM,Out ofHours,Out ofHours
04/04/2022,LS9 ,LS9 8,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2022,LS12 ,LS12 1,MUSIC,Out ofHours,Out ofHours
04/04/2022,LS22 ,LS22 6,SHOUTING,Out ofHours,Out ofHours
04/04/2022,LS9 ,LS9 7,SHOUTING,Out ofHours,Out ofHours
04/04/2022,LS16 ,LS16 6,SHOUTING,Out ofHours,Out ofHours
04/04/2022,LS16 ,LS16 5,TV,Out ofHours,Out ofHours
04/04/2022,LS14 ,LS14 2,MUSIC,Out ofHours,Out ofHours
04/04/2022,LS13 ,LS13 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2022,LS14 ,LS14 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2022,LS27 ,LS27 7,TV,Out ofHours,Out ofHours
05/04/2022,LS11 ,LS11 6,MUSIC,Out ofHours,Out ofHours
05/04/2022,LS14 ,LS14 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/04/2022,LS11 ,LS11 7,MUSIC,Out ofHours,Out ofHours
05/04/2022,LS9 ,LS9 6,SHOUTING,Out ofHours,Out ofHours
05/04/2022,LS6 ,LS6 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/04/2022,LS14 ,LS14 2,MUSIC,Out ofHours,Out ofHours
05/04/2022,LS12 ,LS12 3,MUSIC,Out ofHours,Out ofHours
05/04/2022,LS21 ,LS21 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/04/2022,LS27 ,LS27 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/04/2022,LS4 ,LS4 2,MUSIC,Out ofHours,Out ofHours
05/04/2022,LS11 ,LS11 6,DOG BARKING,Out ofHours,Out ofHours
05/04/2022,LS6 ,LS6 2,MUSIC,Out ofHours,Out ofHours
05/04/2022,LS11 ,LS11 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/04/2022,LS6 ,LS6 3,MUSIC,Out ofHours,Out ofHours
05/04/2022,LS14 ,LS14 2,MUSIC,Out ofHours,Out ofHours
05/04/2022,LS1 ,LS1 4,MUSIC,Out ofHours,Out ofHours
05/04/2022,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
05/04/2022,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
05/04/2022,LS9 ,LS9 7,OTHER,Out ofHours,Out ofHours
05/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
05/04/2022,LS19 ,LS19 7,TV,Out ofHours,Out ofHours
06/04/2022,LS16 ,LS16 6,MUSIC,Out ofHours,Out ofHours
06/04/2022,LS14 ,LS14 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
06/04/2022,LS14 ,LS14 2,MUSIC,Out ofHours,Out ofHours
06/04/2022,LS25 ,LS25 2,MUSIC,Out ofHours,Out ofHours
06/04/2022,LS7 ,LS7 3,MUSIC,Out ofHours,Out ofHours
06/04/2022,LS6 ,LS6 2,SHOUTING,Out ofHours,Out ofHours
06/04/2022,LS13 ,LS13 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
06/04/2022,LS27 ,LS27 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
06/04/2022,LS11 ,LS11 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
06/04/2022,LS17 ,LS17 6,DIY,Out ofHours,Out ofHours
06/04/2022,LS9 ,LS9 8,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
06/04/2022,LS10 ,LS10 4,OTHER,Out ofHours,Out ofHours
06/04/2022,LS9 ,LS9 7,SHOUTING,Out ofHours,Out ofHours
06/04/2022,LS17 ,LS17 7,MUSIC,Out ofHours,Out ofHours
06/04/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
06/04/2022,LS13 ,LS13 2,MUSIC,Out ofHours,Out ofHours
06/04/2022,LS10 ,LS10 4,SHOUTING,Out ofHours,Out ofHours
06/04/2022,LS20 ,LS20 9,DOG BARKING,Out ofHours,Out ofHours
06/04/2022,LS2 ,LS2 7,MUSIC,Out ofHours,Out ofHours
06/04/2022,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
07/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
07/04/2022,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
07/04/2022,LS14 ,LS14 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/04/2022,LS7 ,LS7 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/04/2022,LS27 ,LS27 8,MUSIC,Out ofHours,Out ofHours
07/04/2022,LS10 ,LS10 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/04/2022,LS14 ,LS14 5,MUSIC,Out ofHours,Out ofHours
07/04/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
07/04/2022,LS11 ,LS11 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/04/2022,LS13 ,LS13 2,SHOUTING,Out ofHours,Out ofHours
07/04/2022,LS13 ,LS13 2,SHOUTING,Out ofHours,Out ofHours
07/04/2022,LS13 ,LS13 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/04/2022,LS8 ,LS8 3,DIY,Out ofHours,Out ofHours
07/04/2022,LS9 ,LS9 9,MUSIC,Out ofHours,Out ofHours
07/04/2022,LS12 ,LS12 3,MUSIC,Out ofHours,Out ofHours
07/04/2022,LS9 ,LS9 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/04/2022,LS28 ,LS28 8,DOG BARKING,Out ofHours,Out ofHours
07/04/2022,LS14 ,LS14 1,DOG BARKING,Out ofHours,Out ofHours
07/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
07/04/2022,LS14 ,LS14 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/04/2022,LS27 ,LS27 7,TV,Out ofHours,Out ofHours
08/04/2022,LS19 ,LS19 7,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS2 ,LS2 8,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS14 ,LS14 6,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS19 ,LS19 7,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS17 ,LS17 6,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS14 ,LS14 1,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS11 ,LS11 9,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS9 ,LS9 9,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS11 ,LS11 0,SHOUTING,Out ofHours,Out ofHours
08/04/2022,LS1 ,LS1 6,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS20 ,LS20 8,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS20 ,LS20 9,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS14 ,LS14 5,TV,Out ofHours,Out ofHours
08/04/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS26 ,LS26 0,SHOUTING,Out ofHours,Out ofHours
08/04/2022,LS12 ,LS12 3,DIY,Out ofHours,Out ofHours
08/04/2022,LS7 ,LS7 3,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS17 ,LS17 5,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
08/04/2022,LS9 ,LS9 9,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS9 ,LS9 6,PARTY,Out ofHours,Out ofHours
09/04/2022,LS4 ,LS4 2,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS28 ,LS28 7,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS10 ,LS10 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
09/04/2022,LS12 ,LS12 3,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS11 ,LS11 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
09/04/2022,LS27 ,LS27 0,DIY,Out ofHours,Out ofHours
09/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS11 ,LS11 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
09/04/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS9 ,LS9 9,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS4 ,LS4 2,PARTY,Out ofHours,Out ofHours
09/04/2022,LS12 ,LS12 3,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS28 ,LS28 5,PARTY,Out ofHours,Out ofHours
09/04/2022,LS13 ,LS13 4,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS15 ,LS15 0,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS14 ,LS14 6,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS17 ,LS17 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
09/04/2022,LS12 ,LS12 3,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS6 ,LS6 2,MUSIC,Out ofHours,Out ofHours
09/04/2022,LS12 ,LS12 3,TV,Out ofHours,Out ofHours
09/04/2022,LS28 ,LS28 7,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS8 ,LS8 1,SHOUTING,Out ofHours,Out ofHours
10/04/2022,LS11 ,LS11 9,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS13 ,LS13 3,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS6 ,LS6 4,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS28 ,LS28 5,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS27 ,LS27 8,MUSIC,Out ofHours,Out ofHours
10/04/2022,WF9 ,WF9 2,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS16 ,LS16 6,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS9 ,LS9 0,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS14 ,LS14 5,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS10 ,LS10 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
10/04/2022,LS6 ,LS6 1,ALARM,Out ofHours,Out ofHours
10/04/2022,LS7 ,LS7 3,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS14 ,LS14 6,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS12 ,LS12 3,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS14 ,LS14 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
10/04/2022,LS16 ,LS16 6,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS13 ,LS13 4,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS12 ,LS12 1,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS27 ,LS27 8,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS7 ,LS7 3,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS27 ,LS27 9,SHOUTING,Out ofHours,Out ofHours
10/04/2022,LS9 ,LS9 8,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
10/04/2022,LS8 ,LS8 4,DOG BARKING,Out ofHours,Out ofHours
10/04/2022,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
10/04/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
10/04/2022,LS8 ,LS8 5,SHOUTING,Out ofHours,Out ofHours
10/04/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
11/04/2022,LS6 ,LS6 3,MUSIC,Out ofHours,Out ofHours
11/04/2022,LS9 ,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
11/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
11/04/2022,LS15 ,LS15 0,OTHER,Out ofHours,Out ofHours
11/04/2022,LS16 ,LS16 7,SHOUTING,Out ofHours,Out ofHours
11/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
11/04/2022,LS15 ,LS15 9,OTHER,Out ofHours,Out ofHours
11/04/2022,LS25 ,LS25 7,DOG BARKING,Out ofHours,Out ofHours
11/04/2022,LS10 ,LS10 3,SHOUTING,Out ofHours,Out ofHours
11/04/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
11/04/2022,LS8 ,LS8 5,MUSIC,Out ofHours,Out ofHours
11/04/2022,LS11 ,LS11 0,MUSIC,Out ofHours,Out ofHours
11/04/2022,LS12 ,LS12 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
11/04/2022,LS16 ,LS16 6,SHOUTING,Out ofHours,Out ofHours
11/04/2022,LS4 ,LS4 2,ALARM,Out ofHours,Out ofHours
11/04/2022,LS10 ,LS10 4,TV,Out ofHours,Out ofHours
11/04/2022,LS27 ,LS27 7,MUSIC,Out ofHours,Out ofHours
11/04/2022,LS27 ,LS27 8,MUSIC,Out ofHours,Out ofHours
11/04/2022,LS12 ,LS12 5,SHOUTING,Out ofHours,Out ofHours
11/04/2022,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
11/04/2022,LS27 ,LS27 7,TV,Out ofHours,Out ofHours
12/04/2022,LS27 ,LS27 8,MUSIC,Out ofHours,Out ofHours
12/04/2022,LS12 ,LS12 3,TV,Out ofHours,Out ofHours
12/04/2022,LS4 ,LS4 2,ALARM,Out ofHours,Out ofHours
12/04/2022,LS20 ,LS20 9,DOG BARKING,Out ofHours,Out ofHours
12/04/2022,LS13 ,LS13 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
12/04/2022,LS7 ,LS7 3,MUSIC,Out ofHours,Out ofHours
12/04/2022,LS28 ,LS28 7,MUSIC,Out ofHours,Out ofHours
12/04/2022,LS16 ,LS16 6,MUSIC,Out ofHours,Out ofHours
12/04/2022,LS14 ,LS14 1,MUSIC,Out ofHours,Out ofHours
12/04/2022,LS8 ,LS8 5,MUSIC,Out ofHours,Out ofHours
12/04/2022,LS13 ,LS13 4,DIY,Out ofHours,Out ofHours
12/04/2022,WF3 ,WF3 3,MUSIC,Out ofHours,Out ofHours
12/04/2022,LS9 ,LS9 8,MUSIC,Out ofHours,Out ofHours
12/04/2022,LS10 ,LS10 4,OTHER,Out ofHours,Out ofHours
12/04/2022,LS14 ,LS14 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
13/04/2022,LS12 ,LS12 3,OTHER,Out ofHours,Out ofHours
13/04/2022,LS13 ,LS13 3,MUSIC,Out ofHours,Out ofHours
13/04/2022,LS9 ,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
13/04/2022,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
13/04/2022,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
13/04/2022,LS9 ,LS9 6,SHOUTING,Out ofHours,Out ofHours
13/04/2022,LS26 ,LS26 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
13/04/2022,LS9 ,LS9 9,MUSIC,Out ofHours,Out ofHours
13/04/2022,LS17 ,LS17 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
13/04/2022,LS26 ,LS26 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
13/04/2022,LS10 ,LS10 4,OTHER,Out ofHours,Out ofHours
13/04/2022,LS9 ,LS9 0,MUSIC,Out ofHours,Out ofHours
13/04/2022,LS9 ,LS9 7,SHOUTING,Out ofHours,Out ofHours
13/04/2022,LS26 ,LS26 8,SHOUTING,Out ofHours,Out ofHours
13/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
13/04/2022,LS14 ,LS14 1,MUSIC,Out ofHours,Out ofHours
13/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
13/04/2022,LS7 ,LS7 2,MUSIC,Out ofHours,Out ofHours
13/04/2022,LS6 ,LS6 1,ALARM,Out ofHours,Out ofHours
13/04/2022,LS28 ,LS28 6,TV,Out ofHours,Out ofHours
14/04/2022,LS27 ,LS27 7,TV,Out ofHours,Out ofHours
14/04/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
14/04/2022,LS14 ,LS14 1,SHOUTING,Out ofHours,Out ofHours
14/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
14/04/2022,LS28 ,LS28 6,TV,Out ofHours,Out ofHours
14/04/2022,LS13 ,LS13 2,MUSIC,Out ofHours,Out ofHours
14/04/2022,LS9 ,LS9 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
14/04/2022,LS9 ,LS9 6,TV,Out ofHours,Out ofHours
14/04/2022,LS12 ,LS12 5,DOG BARKING,Out ofHours,Out ofHours
14/04/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
14/04/2022,LS12 ,LS12 5,DOG BARKING,Out ofHours,Out ofHours
14/04/2022,LS14 ,LS14 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
14/04/2022,LS26 ,LS26 0,DOG BARKING,Out ofHours,Out ofHours
14/04/2022,LS6 ,LS6 3,MUSIC,Out ofHours,Out ofHours
14/04/2022,LS26 ,LS26 0,SHOUTING,Out ofHours,Out ofHours
14/04/2022,LS7 ,LS7 3,MUSIC,Out ofHours,Out ofHours
14/04/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
