Created,Caller,Postcode,Type of Noise Causing a Nuisance,Sr_Num,Enq_Type
04/04/2020,LS16,LS16 6,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS9,LS9 8,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2020,LS7,LS7 3,SHOUTING,Out ofHours,Out ofHours
04/04/2020,LS11,LS11 5,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS8,LS8 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2020,LS12,LS12 4,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS5,LS5 3,PARTY,Out ofHours,Out ofHours
04/04/2020,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
04/04/2020,LS10,LS10 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2020,LS4,LS4 2,BUILDING SITE,Out ofHours,Out ofHours
04/04/2020,LS14,LS14 1,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS12,LS12 5,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS9,LS9 8,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS15,LS15 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2020,LS6,LS6 2,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS9,LS9 8,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2020,LS10,LS10 1,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS27,LS27 9,OTHER,Out ofHours,Out ofHours
04/04/2020,LS14,LS14 2,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS4,LS4 2,PARTY,Out ofHours,Out ofHours
04/04/2020,LS13,LS13 4,SHOUTING,Out ofHours,Out ofHours
04/04/2020,LS8,LS8 1,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS10,LS10 4,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS27,LS27 9,OTHER,Out ofHours,Out ofHours
05/04/2020,LS4,LS4 2,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS9,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/04/2020,LS7,LS7 1,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS11,LS11 5,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS14,LS14 2,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS7,LS7 3,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS10,LS10 3,OTHER,Out ofHours,Out ofHours
05/04/2020,LS17,LS17 6,SHOUTING,Out ofHours,Out ofHours
05/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS11,LS11 7,PARTY,Out ofHours,Out ofHours
05/04/2020,LS10,LS10 1,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS21,LS21 2,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS9,LS9 0,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS10,LS10 4,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS7,LS7 4,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
05/04/2020,LS6,LS6 3,SHOUTING,Out ofHours,Out ofHours
05/04/2020,LS11,LS11 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/04/2020,LS12,LS12 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/04/2020,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
05/04/2020,LS6,LS6 2,SHOUTING,Out ofHours,Out ofHours
05/04/2020,LS3,LS3 1,SHOUTING,Out ofHours,Out ofHours
05/04/2020,WF3,WF3 2,PARTY,Out ofHours,Out ofHours
05/04/2020,LS4,LS4 2,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS10,LS10 1,MUSIC,Out ofHours,Out ofHours
05/04/2020,LS28,LS28 8,MUSIC,Out ofHours,Out ofHours
06/04/2020,LS10,LS10 1,TV,Out ofHours,Out ofHours
06/04/2020,WF3,WF3 2,PARTY,Out ofHours,Out ofHours
06/04/2020,LS11,LS11 5,MUSIC,Out ofHours,Out ofHours
06/04/2020,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
06/04/2020,LS10,LS10 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
06/04/2020,LS25,LS25 1,OTHER,Out ofHours,Out ofHours
06/04/2020,LS11,LS11 8,SHOUTING,Out ofHours,Out ofHours
06/04/2020,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
06/04/2020,LS9,LS9 7,MUSIC,Out ofHours,Out ofHours
06/04/2020,LS13,LS13 4,MUSIC,Out ofHours,Out ofHours
06/04/2020,WF3,WF3 2,MUSIC,Out ofHours,Out ofHours
06/04/2020,LS17,LS17 6,MUSIC,Out ofHours,Out ofHours
06/04/2020,LS14,LS14 3,TV,Out ofHours,Out ofHours
06/04/2020,LS17,LS17 5,TV,Out ofHours,Out ofHours
06/04/2020,LS3,LS3 1,MUSIC,Out ofHours,Out ofHours
06/04/2020,LS9,LS9 7,MUSIC,Out ofHours,Out ofHours
06/04/2020,LS13,LS13 4,MUSIC,Out ofHours,Out ofHours
06/04/2020,LS9,LS9 7,OTHER,Out ofHours,Out ofHours
06/04/2020,LS19,LS19 7,OTHER,Out ofHours,Out ofHours
06/04/2020,LS16,LS16 7,MUSIC,Out ofHours,Out ofHours
06/04/2020,LS9,LS9 6,SHOUTING,Out ofHours,Out ofHours
06/04/2020,LS12,LS12 2,SHOUTING,Out ofHours,Out ofHours
06/04/2020,LS8,LS8 3,SHOUTING,Out ofHours,Out ofHours
07/04/2020,LS5,LS5 3,SHOUTING,Out ofHours,Out ofHours
07/04/2020,LS6,LS6 3,ALARM,Out ofHours,Out ofHours
07/04/2020,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
07/04/2020,LS7,LS7 4,MUSIC,Out ofHours,Out ofHours
