Created,Caller ,Noise Postcode,Type of Noise Causing a Nuisance,Sr_Num,Enq Type
02/07/2021,LS4,LS4 2,PARTY,Out ofHours,Out ofHours
02/07/2021,LS6,LS6 3,SHOUTING,Out ofHours,Out ofHours
02/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
02/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
02/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
02/07/2021,LS9,LS9 6,MUSIC,Out ofHours,Out ofHours
02/07/2021,LS9,LS9 0,MUSIC,Out ofHours,Out ofHours
02/07/2021,LS8,LS8 4,MUSIC,Out ofHours,Out ofHours
02/07/2021,LS4,LS4 2,PARTY,Out ofHours,Out ofHours
02/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
02/07/2021,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
02/07/2021,LS6,LS6 2,MUSIC,Out ofHours,Out ofHours
02/07/2021,LS6,LS6 2,OTHER,Out ofHours,Out ofHours
02/07/2021,LS8,LS8 2,DOG BARKING,Out ofHours,Out ofHours
02/07/2021,LS6,LS6 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
02/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
02/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS12,LS12 4,PARTY,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS14,LS14 5,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
03/07/2021,LS12,LS12 3,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS11,LS11 7,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS11,LS11 9,PARTY,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 2,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS11,LS11 9,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS11,LS11 6,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS11,LS11 9,PARTY,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
03/07/2021,LS4,LS4 2,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
03/07/2021,LS14,LS14 2,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS9,LS9 6,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS13,LS13 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/07/2021,LS9,LS9 9,SHOUTING,Out ofHours,Out ofHours
