Created1,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
19/06/2023,WF3,WF3 1,DOG BARKING,Out ofHours,Out ofHours
19/06/2023,LS14,LS14 5,LOUD MUSIC,Out ofHours,Out ofHours
19/06/2023,LS20,LS20 9,LOUD MUSIC,Out ofHours,Out ofHours
19/06/2023,LS12,LS12 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
19/06/2023,LS11,LS11 6,LOUD MUSIC,Out ofHours,Out ofHours
19/06/2023,WF10,WF10 2,LOUD MUSIC,Out ofHours,Out ofHours
19/06/2023,LS27,LS27 7,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
19/06/2023,LS9,LS9 6,SHOUTING,Out ofHours,Out ofHours
19/06/2023,LS13,LS13 3,LOUD MUSIC,Out ofHours,Out ofHours
19/06/2023,LS9,LS9 6,SHOUTING,Out ofHours,Out ofHours
19/06/2023,LS20,LS20 9,LOUD MUSIC,Out ofHours,Out ofHours
19/06/2023,LS12,LS12 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
19/06/2023,LS9,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
19/06/2023,WF3,WF3 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
19/06/2023,WF3,WF3 1,DOG BARKING,Out ofHours,Out ofHours
19/06/2023,LS7,LS7 4,LOUD MUSIC,Out ofHours,Out ofHours
19/06/2023,LS1,LS1 3,DIY,Out ofHours,Out ofHours
19/06/2023,LS8,LS8 4,LOUD MUSIC,Out ofHours,Out ofHours
19/06/2023,LS12,LS12 3,SHOUTING,Out ofHours,Out ofHours
18/06/2023,LS14,LS14 2,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS15,LS15 0,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS8,LS8 3,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS10,LS10 4,OTHER,Out ofHours,Out ofHours
18/06/2023,LS12,LS12 1,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS9,LS9 7,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS7,LS7 2,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS6,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS12,LS12 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
18/06/2023,LS9,LS9 6,DOG BARKING,Out ofHours,Out ofHours
18/06/2023,LS12,LS12 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
