Created,post code,Noise type,Sr_Num,Enq_Type
27/03/2017 08:14,LS16 5,MUSIC,OutofHours,OutofHours
27/03/2017 03:59,LS6 3,,OutofHours,OutofHours
27/03/2017 01:21,LS8 5,MUSIC,OutofHours,OutofHours
27/03/2017 01:17,LS4 2,MUSIC,OutofHours,OutofHours
27/03/2017 01:08,LS18 5,MUSIC,OutofHours,OutofHours
27/03/2017 00:36,LS8 2,MUSIC,OutofHours,OutofHours
27/03/2017 00:29,LS10 4,MUSIC,OutofHours,OutofHours
27/03/2017 00:06,LS20 8,MUSIC,OutofHours,OutofHours
26/03/2017 23:34,LS17 5,SHOUTING,OutofHours,OutofHours
26/03/2017 23:27,LS10 4,MUSIC,OutofHours,OutofHours
26/03/2017 23:06,LS14 6,MUSIC,OutofHours,OutofHours
26/03/2017 22:56,LS12 3,BUILDING SITE,OutofHours,OutofHours
26/03/2017 22:18,LS11 6,MUSIC,OutofHours,OutofHours
26/03/2017 21:14,LS11 8,MUSIC,OutofHours,OutofHours
26/03/2017 21:10,LS16 5,MUSIC,OutofHours,OutofHours
26/03/2017 20:54,LS10 4,MUSIC,OutofHours,OutofHours
26/03/2017 20:43,LS11 6,MUSIC,OutofHours,OutofHours
26/03/2017 20:33,LS9 0,MUSIC,OutofHours,OutofHours
26/03/2017 20:15,LS16 5,MUSIC,OutofHours,OutofHours
26/03/2017 19:58,LS9 8,MUSIC,OutofHours,OutofHours
26/03/2017 18:59,LS9 0,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
26/03/2017 18:29,LS25 2,MUSIC,OutofHours,OutofHours
26/03/2017 17:41,GARDE,,OutofHours,OutofHours
26/03/2017 17:36,LS25 2,MUSIC,OutofHours,OutofHours
26/03/2017 12:57,LS6 1,MUSIC,OutofHours,OutofHours
26/03/2017 09:59,LS16 5,MUSIC,OutofHours,OutofHours
26/03/2017 09:43,LS15 0,MUSIC,OutofHours,OutofHours
26/03/2017 04:18,LS5 3,,OutofHours,OutofHours
26/03/2017 02:40,LS9 6,DOG BARKING,OutofHours,OutofHours
26/03/2017 02:37,LS9 0,PARTY,OutofHours,OutofHours
26/03/2017 00:25,LS10 1,MUSIC,OutofHours,OutofHours
25/03/2017 22:50,LS6 1,MUSIC,OutofHours,OutofHours
25/03/2017 22:07,LS12 3,SHOUTING,OutofHours,OutofHours
25/03/2017 21:23,LS11 6,MUSIC,OutofHours,OutofHours
25/03/2017 20:25,LS5 3,MUSIC,OutofHours,OutofHours
25/03/2017 20:20,LS6 1,MUSIC,OutofHours,OutofHours
25/03/2017 20:15,LS13 2,MUSIC,OutofHours,OutofHours
25/03/2017 20:05,LS10 4,MUSIC,OutofHours,OutofHours
25/03/2017 19:43,LS27 0,MUSIC,OutofHours,OutofHours
25/03/2017 18:16,LS10 4,MUSIC,OutofHours,OutofHours
25/03/2017 14:51,LS13 2,MUSIC,OutofHours,OutofHours
25/03/2017 13:51,LS6 1,MUSIC,OutofHours,OutofHours
25/03/2017 13:27,LS6 1,MUSIC,OutofHours,OutofHours
25/03/2017 13:08,LS14 8,MUSIC,OutofHours,OutofHours
25/03/2017 12:45,LS6 1,MUSIC,OutofHours,OutofHours
25/03/2017 12:22,LS11 8,MUSIC,OutofHours,OutofHours
25/03/2017 11:24,LS11 8,MUSIC,OutofHours,OutofHours
25/03/2017 07:30,LS6 1,MUSIC,OutofHours,OutofHours
25/03/2017 06:51,LS16 5,MUSIC,OutofHours,OutofHours
25/03/2017 05:32,LS6 1,MUSIC,OutofHours,OutofHours
25/03/2017 05:22,LS6 3,,OutofHours,OutofHours
25/03/2017 04:51,LS16 5,,OutofHours,OutofHours
25/03/2017 04:42,LS5 3,,OutofHours,OutofHours
25/03/2017 04:35,LS6 1,MUSIC,OutofHours,OutofHours
25/03/2017 04:27,LS16 5,,OutofHours,OutofHours
25/03/2017 04:21,LS9 7,,OutofHours,OutofHours
25/03/2017 04:08,LS17 6,TV,OutofHours,OutofHours
25/03/2017 03:48,LS16 5,,OutofHours,OutofHours
25/03/2017 03:43,Ls16 5,MUSIC,OutofHours,OutofHours
25/03/2017 02:38,LS4 2,MUSIC,OutofHours,OutofHours
25/03/2017 01:48,LS6 2,MUSIC,OutofHours,OutofHours
25/03/2017 01:44,LS16 5,SHOUTING,OutofHours,OutofHours
25/03/2017 01:25,L,MUSIC,OutofHours,OutofHours
25/03/2017 01:22,LS6 3,MUSIC,OutofHours,OutofHours
25/03/2017 01:08,LS6 1,SHOUTING,OutofHours,OutofHours
25/03/2017 00:46,LS17 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
25/03/2017 00:34,LS9 7,MUSIC,OutofHours,OutofHours
25/03/2017 00:25,LS8 1,MUSIC,OutofHours,OutofHours
25/03/2017 00:18,LS6 1,MUSIC,OutofHours,OutofHours
25/03/2017 00:07,LS2 7,MUSIC,OutofHours,OutofHours
25/03/2017 00:03,LS6 3,PARTY,OutofHours,OutofHours
24/03/2017 23:45,#VALUE!,,OutofHours,OutofHours
24/03/2017 23:39,LS11 6,MUSIC,OutofHours,OutofHours
24/03/2017 23:35,LS16 5,PARTY,OutofHours,OutofHours
24/03/2017 23:11,LS6 1,PARTY,OutofHours,OutofHours
24/03/2017 23:08,LS4 2,MUSIC,OutofHours,OutofHours
24/03/2017 22:54,#VALUE!,,OutofHours,OutofHours
24/03/2017 22:50,LS9 6,DOG BARKING,OutofHours,OutofHours
24/03/2017 22:34,LS13 2,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
24/03/2017 22:33,LS12 3,MUSIC,OutofHours,OutofHours
24/03/2017 22:29,LS16 7,DOG BARKING,OutofHours,OutofHours
24/03/2017 22:21,LS6 1,PARTY,OutofHours,OutofHours
24/03/2017 22:17,LS9 6,MUSIC,OutofHours,OutofHours
24/03/2017 22:08,LS12 5,SHOUTING,OutofHours,OutofHours
24/03/2017 22:07,LS6 2,MUSIC,OutofHours,OutofHours
24/03/2017 22:03,LS4 2,MUSIC,OutofHours,OutofHours
24/03/2017 21:59,LS7 3,PARTY,OutofHours,OutofHours
24/03/2017 21:52,LS10 4,MUSIC,OutofHours,OutofHours
24/03/2017 21:42,LS15 8,MUSIC,OutofHours,OutofHours
24/03/2017 21:35,LS6 1,MUSIC,OutofHours,OutofHours
24/03/2017 21:35,LS14 6,MUSIC,OutofHours,OutofHours
24/03/2017 21:06,WF10 2,DIY,OutofHours,OutofHours
24/03/2017 21:00,LS13 2,SHOUTING,OutofHours,OutofHours
24/03/2017 20:54,LS6 2,MUSIC,OutofHours,OutofHours
24/03/2017 20:37,LS16 5,MUSIC,OutofHours,OutofHours
24/03/2017 20:33,LS7 3,MUSIC,OutofHours,OutofHours
24/03/2017 20:25,LS25 2,MUSIC,OutofHours,OutofHours
24/03/2017 19:43,LS8 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
24/03/2017 18:55,LS25 2A,MUSIC,OutofHours,OutofHours
24/03/2017 07:01,LS9 6,OTHER,OutofHours,OutofHours
24/03/2017 06:42,LS16 5,MUSIC,OutofHours,OutofHours
24/03/2017 02:40,LS2 9,PARTY,OutofHours,OutofHours
24/03/2017 02:01,LS1 6,MUSIC,OutofHours,OutofHours
24/03/2017 01:45,LS6 3,PARTY,OutofHours,OutofHours
24/03/2017 01:36,LS13 2,SHOUTING,OutofHours,OutofHours
24/03/2017 00:42,LS6 4,MUSIC,OutofHours,OutofHours
24/03/2017 00:01,LS6 1,PARTY,OutofHours,OutofHours
23/03/2017 23:57,LS6 1,PARTY,OutofHours,OutofHours
23/03/2017 23:52,LS8 3,MUSIC,OutofHours,OutofHours
23/03/2017 23:46,LS13 2,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
23/03/2017 23:42,LS6 1,MUSIC,OutofHours,OutofHours
23/03/2017 23:24,#VALUE!,,OutofHours,OutofHours
23/03/2017 23:09,LS6 1,MUSIC,OutofHours,OutofHours
23/03/2017 23:07,LS8 3,MUSIC,OutofHours,OutofHours
23/03/2017 22:53,LS6 1,MUSIC,OutofHours,OutofHours
23/03/2017 22:52,LS9 6,SHOUTING,OutofHours,OutofHours
23/03/2017 22:27,LS9 6,MUSIC,OutofHours,OutofHours
23/03/2017 22:06,LS11 6,MUSIC,OutofHours,OutofHours
23/03/2017 22:00,LS11 6,PARTY,OutofHours,OutofHours
23/03/2017 21:57,LS11 6,MUSIC,OutofHours,OutofHours
23/03/2017 21:29,LS4 2,MUSIC,OutofHours,OutofHours
23/03/2017 20:14,LS7 4H,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
23/03/2017 20:06,LS12 1,DOG BARKING,OutofHours,OutofHours
23/03/2017 19:46,LS9 6D,DIY,OutofHours,OutofHours
23/03/2017 19:36,LS12 1X,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
23/03/2017 05:47,LS8 2,MUSIC,OutofHours,OutofHours
23/03/2017 03:15,LS8 2,MUSIC,OutofHours,OutofHours
23/03/2017 02:45,LS11 7E,MUSIC,OutofHours,OutofHours
23/03/2017 01:17,LS9 7,MUSIC,OutofHours,OutofHours
23/03/2017 00:55,LS11 7,MUSIC,OutofHours,OutofHours
23/03/2017 00:11,WF3 1,OTHER,OutofHours,OutofHours
22/03/2017 22:40,LS6 1,PARTY,OutofHours,OutofHours
22/03/2017 20:59,LS7 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
22/03/2017 08:56,LS8 1,SHOUTING,OutofHours,OutofHours
22/03/2017 00:52,LS6 3,TV,OutofHours,OutofHours
