Created,Caller Postcode ,Noise Type,Sr_Num ,Enq_type
05/05/2019,LS6 4,ALARM,OutofHours ,OutofHours 
05/05/2019,LS9 7,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
05/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
05/05/2019,LS1 6,MUSIC,OutofHours ,OutofHours 
05/05/2019,LS12 1,MUSIC,OutofHours ,OutofHours 
05/05/2019,LS16 5,MUSIC,OutofHours ,OutofHours 
05/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
05/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
05/05/2019,LS14 6,SHOUTING,OutofHours ,OutofHours 
05/05/2019,LS10 3,MUSIC,OutofHours ,OutofHours 
05/05/2019,LS11 8,MUSIC,OutofHours ,OutofHours 
05/05/2019,LS9 6,SHOUTING,OutofHours ,OutofHours 
05/05/2019,WF3 1,DOG BARKING,OutofHours ,OutofHours 
05/05/2019,LS11 9,MUSIC,OutofHours ,OutofHours 
05/05/2019,WF3 1,MUSIC,OutofHours ,OutofHours 
05/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
05/05/2019,WF3 1,MUSIC,OutofHours ,OutofHours 
05/05/2019,LS9 7,SHOUTING,OutofHours ,OutofHours 
05/05/2019,LS9 6,SHOUTING,OutofHours ,OutofHours 
05/05/2019,LS10 2,MUSIC,OutofHours ,OutofHours 
06/05/2019,LS6 2,SHOUTING,OutofHours ,OutofHours 
06/05/2019,LS16 6,MUSIC,OutofHours ,OutofHours 
06/05/2019,LS10 2,MUSIC,OutofHours ,OutofHours 
06/05/2019,LS9 9,MUSIC,OutofHours ,OutofHours 
06/05/2019,WF3 1,PARTY,OutofHours ,OutofHours 
06/05/2019,LS6 2,SHOUTING,OutofHours ,OutofHours 
06/05/2019,LS17 7,MUSIC,OutofHours ,OutofHours 
06/05/2019,LS6 3,MUSIC,OutofHours ,OutofHours 
06/05/2019,LS17 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
06/05/2019,LS13 4,OTHER,OutofHours ,OutofHours 
06/05/2019,LS13 4,MUSIC,OutofHours ,OutofHours 
06/05/2019,LS13 2,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
06/05/2019,LS13 2,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
06/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
06/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
06/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
06/05/2019,LS7 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
06/05/2019,LS8 5,MUSIC,OutofHours ,OutofHours 
06/05/2019,LS12 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
06/05/2019,LS7 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
06/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
06/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
07/05/2019,LS9 6,SHOUTING,OutofHours ,OutofHours 
07/05/2019,LS12 5,MUSIC,OutofHours ,OutofHours 
07/05/2019,LS10 4,OTHER,OutofHours ,OutofHours 
07/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
07/05/2019,LS15 7,MUSIC,OutofHours ,OutofHours 
07/05/2019,LS15 8,SHOUTING,OutofHours ,OutofHours 
07/05/2019,LS14 6,MUSIC,OutofHours ,OutofHours 
07/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
07/05/2019,LS17 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
07/05/2019,LS7 3,SHOUTING,OutofHours ,OutofHours 
07/05/2019,LS7 3,SHOUTING,OutofHours ,OutofHours 
07/05/2019,LS7 3,SHOUTING,OutofHours ,OutofHours 
07/05/2019,LS10 3,MUSIC,OutofHours ,OutofHours 
08/05/2019,LS7 3,SHOUTING,OutofHours ,OutofHours 
08/05/2019,LS6 1,PARTY,OutofHours ,OutofHours 
08/05/2019,LS13 4,OTHER,OutofHours ,OutofHours 
08/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
08/05/2019,LS14 5,MUSIC,OutofHours ,OutofHours 
08/05/2019,LS9 6,SHOUTING,OutofHours ,OutofHours 
08/05/2019,LS14 6,MUSIC,OutofHours ,OutofHours 
08/05/2019,LS9 7,MUSIC,OutofHours ,OutofHours 
08/05/2019,LS14 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
08/05/2019,LS13 3,TV,OutofHours ,OutofHours 
08/05/2019,LS8 1,DIY,OutofHours ,OutofHours 
08/05/2019,LS27 9,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
08/05/2019,LS8 2,SHOUTING,OutofHours ,OutofHours 
08/05/2019,LS16 7,OTHER,OutofHours ,OutofHours 
09/05/2019,LS14 6,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
09/05/2019,LS14 6,MUSIC,OutofHours ,OutofHours 
09/05/2019,LS14 6,MUSIC,OutofHours ,OutofHours 
09/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
09/05/2019,LS16 5,MUSIC,OutofHours ,OutofHours 
