Created,Caller Postcode,Noise type
24/06/2017 10:08,LS11 5,SHOUTING
24/06/2017 02:17,LS16 7,TV
24/06/2017 01:57,LS18 5,PARTY
24/06/2017 01:20,LS9 6,SHOUTING
24/06/2017 00:52,LS7 3,MUSIC
24/06/2017 00:33,LS9 8,MUSIC
24/06/2017 00:27,WF3 1,OTHER
24/06/2017 00:14,LS15 7,MUSIC
24/06/2017 00:01,WF3 1,MUSIC
23/06/2017 23:57,LS14 5,MUSIC
23/06/2017 23:49,LS26 8,MUSIC
23/06/2017 23:31,LS11 6,MUSIC
23/06/2017 22:59,LS2 7,MUSIC
23/06/2017 21:48,LS9 9,MUSIC
23/06/2017 21:33,LS11 6,MUSIC
23/06/2017 20:53,WF3 1,MUSIC
23/06/2017 20:41,LS9 9,MUSIC
23/06/2017 19:46,LS26 8,BANGING ON WALLS/CEILING/FLOOR
23/06/2017 19:22,LS2 7,MUSIC
23/06/2017 18:08,LS8 3,MUSIC
23/06/2017 01:31,LS18 4,BANGING ON WALLS/CEILING/FLOOR
23/06/2017 01:09,LS28 9,BANGING ON WALLS/CEILING/FLOOR
23/06/2017 01:06,LS10 4,SHOUTING
23/06/2017 00:46,WF3 1,OTHER
23/06/2017 00:33,LS8 1,SHOUTING
22/06/2017 22:49,LS11 6,SHOUTING
22/06/2017 22:19,LS6 1,MUSIC
22/06/2017 21:52,LS12 3,MUSIC
22/06/2017 19:39,LS9 9D,MUSIC
22/06/2017 18:55,LS13 2,BANGING ON WALLS/CEILING/FLOOR
22/06/2017 03:57,LS31,SHOUTING
22/06/2017 01:50,WF3 1,OTHER
22/06/2017 01:36,LS3 1,MUSIC
22/06/2017 00:48,LS11 0,MUSIC
22/06/2017 00:47,LS11 0,MUSIC
22/06/2017 00:42,LS12 5,MUSIC
22/06/2017 00:14,LS8 5,SHOUTING
22/06/2017 00:09,LS8 3,MUSIC
21/06/2017 23:57,LS8 5,MUSIC
21/06/2017 23:55,LS4 2,MUSIC
21/06/2017 23:28,LS8 5,MUSIC
21/06/2017 22:46,LS6 1,MUSIC
21/06/2017 22:42,LS12 2,OTHER
21/06/2017 22:35,LS9 7,SHOUTING
21/06/2017 22:21,LS7 3,MUSIC
21/06/2017 22:08,LS3 1,MUSIC
21/06/2017 21:14,LS9 6,MUSIC
21/06/2017 20:21,LS13 2T,MUSIC
21/06/2017 18:56,LS12 5,DOG BARKING
21/06/2017 18:41,LS13 2,MUSIC
21/06/2017 18:22,LS8 5,SHOUTING
21/06/2017 02:50,WF3 1,OTHER
21/06/2017 02:48,LS16 7,MUSIC
21/06/2017 02:10,LS6 4,PARTY
21/06/2017 02:06,LS14 6,MUSIC
21/06/2017 01:14,LS6 4,TV
21/06/2017 01:07,WF3 1,OTHER
21/06/2017 00:20,BD11 1,ALARM
