Created1,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
04/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
04/08/2022,LS11 ,LS11 7,SHOUTING,Out ofHours,Out ofHours
04/08/2022,LS16 ,LS16 5,MUSIC,Out ofHours,Out ofHours
04/08/2022,LS9 ,LS9 7,SHOUTING,Out ofHours,Out ofHours
04/08/2022,LS9 ,LS9 0,MUSIC,Out ofHours,Out ofHours
04/08/2022,LS8 ,LS8 5,MUSIC,Out ofHours,Out ofHours
04/08/2022,LS14 ,LS14 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/08/2022,LS25 ,LS25 4,DOG BARKING,Out ofHours,Out ofHours
04/08/2022,LS12 ,LS12 1,SHOUTING,Out ofHours,Out ofHours
04/08/2022,LS8 ,LS8 5,MUSIC,Out ofHours,Out ofHours
04/08/2022,LS13 ,LS13 2,OTHER,Out ofHours,Out ofHours
04/08/2022,LS17 ,LS17 7,MUSIC,Out ofHours,Out ofHours
04/08/2022,LS28 ,LS28 8,SHOUTING,Out ofHours,Out ofHours
04/08/2022,LS8 ,LS8 2,DIY,Out ofHours,Out ofHours
04/08/2022,LS17 ,LS17 5,MUSIC,Out ofHours,Out ofHours
04/08/2022,LS9 ,LS9 6,SHOUTING,Out ofHours,Out ofHours
04/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS14 ,LS14 6,SHOUTING,Out ofHours,Out ofHours
05/08/2022,LS10 ,LS10 1,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS6 ,LS6 3,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS12 ,LS12 2,DOG BARKING,Out ofHours,Out ofHours
05/08/2022,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
05/08/2022,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
05/08/2022,LS16 ,LS16 7,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/08/2022,LS6 ,LS6 1,PARTY,Out ofHours,Out ofHours
05/08/2022,LS9,LS9 8,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS8 ,LS8 5,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS25 ,LS25 1,DIY,Out ofHours,Out ofHours
05/08/2022,LS8 ,LS8 5,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS27 ,LS27 0,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS3 ,LS3 1,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS12 ,LS12 1,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS1 ,LS1 4,PARTY,Out ofHours,Out ofHours
05/08/2022,LS9 ,LS9 6,SHOUTING,Out ofHours,Out ofHours
05/08/2022,LS9 ,LS9 8,SHOUTING,Out ofHours,Out ofHours
05/08/2022,LS12 ,LS12 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/08/2022,LS11 ,LS11 7,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
05/08/2022,LS27 ,LS27 0,DOG BARKING,Out ofHours,Out ofHours
05/08/2022,LS1 ,LS1 4,PARTY,Out ofHours,Out ofHours
06/08/2022,BD11 ,BD11 1,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS7 ,LS7 2,PARTY,Out ofHours,Out ofHours
06/08/2022,LS7 ,LS2 7,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS29 ,LS29 0,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS8 ,LS8 5,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS6 ,LS6 1,PARTY,Out ofHours,Out ofHours
06/08/2022,LS9 ,LS9 9,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS17 ,LS17 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
06/08/2022,LS9 ,LS9 6,SHOUTING,Out ofHours,Out ofHours
06/08/2022,LS9,LS9 S,SHOUTING,Out ofHours,Out ofHours
06/08/2022,LS9 ,LS9 6,SHOUTING,Out ofHours,Out ofHours
06/08/2022,LS9 ,LS9 8,PARTY,Out ofHours,Out ofHours
06/08/2022,LS1 ,LS1 6,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS2 ,LS2 7,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS8 ,LS8 3,OTHER,Out ofHours,Out ofHours
06/08/2022,LS10 ,LS10 2,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS9 ,LS9 8,PARTY,Out ofHours,Out ofHours
06/08/2022,LS25 ,LS25 4,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS9 ,LS9 6,SHOUTING,Out ofHours,Out ofHours
06/08/2022,LS6 ,LS6 3,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS11 ,LS11 6,SHOUTING,Out ofHours,Out ofHours
06/08/2022,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS25 ,LS25 1,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS6 ,LS6 2,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS16 ,LS16 7,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS15 ,LS15 8,PARTY,Out ofHours,Out ofHours
06/08/2022,LS12 ,LS12 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
06/08/2022,LS7 ,LS7 3,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS12 ,LS12 5,DOG BARKING,Out ofHours,Out ofHours
06/08/2022,LS9 ,LS9 0,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS7 ,LS7 1,PARTY,Out ofHours,Out ofHours
06/08/2022,LS4 ,LS4 2,SHOUTING,Out ofHours,Out ofHours
06/08/2022,LS20 ,LS20 9,MUSIC,Out ofHours,Out ofHours
06/08/2022,LS11 ,LS11 8,PARTY,Out ofHours,Out ofHours
07/08/2022,LS12 ,LS12 1,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS9 ,LS9 0,MUSIC,Out ofHours,Out ofHours
